line,rep,oct_av_canopy_score,flowering_das,plant_ht,peduncle_length,plot_yield,anthesis_biomass
99,1,2.7,175,92,15,691.4893617,521.13
127,1,2.3,174,85,20,736.2821948,486.11
151,1,5,179,77,11,762.8779395,NA
176,1,1.3,179,80,5,746.0806271,582.47
195,1,3,179,80,14,676.0918253,568.75
232,1,2,179,68,9,585.106383,434.75
27,2,3.3,172,85,12,468.924972,458.65
232,2,3.3,176,67,8,561.3101904,449.36
84,2,2.7,179,82,12,544.5128779,502.41
194,2,2.3,182,82,10,737.6819709,666.35
24,2,4.3,182,78,7,468.924972,458.6
127,2,2,176,88,17,639.6976484,628.86
151,2,4,179,77,10,704.087346,513.67
77,2,6.7,176,96,14,653.6954087,572.94
176,2,1,176,83,9,795.0727884,711.57
130,2,2,181,80,11,625.699888,686.26
Lancer,2,9,179,82,19,750.2799552,617.44
17,1,3,174,90,16,573.9081747,647.25
34,1,3,176,97,18,754.4792833,603.97
51,1,4,179,97,14,592.1052632,609.89
81,1,3.3,179,85,17,606.1030235,572.7
Bennett 2,1,2.7,179,90,16,803.4714446,NA
126,1,3.7,179,95,19,687.2900336,561.07
150,1,2.7,172,85,18,666.2933931,454.57
173,1,3,174,85,17,627.0996641,439.42
194,1,2.7,179,77,10,694.2889138,614.25
222,1,1.7,182,90,14,564.1097424,NA
92,2,1.3,175,85,14,536.1142217,396.22
165,2,2,179,74,10,415.7334826,409.46
112,2,3.3,175,100,19,572.5083987,413.09
33,2,2.3,174,95,17,601.9036954,445.78
142,2,2.3,175,82,11,704.087346,0
44,2,5.7,174,88,16,638.2978723,640.32
48,2,1.7,181,84,13,730.6830907,630.36
161,2,1.8,177,75,10,736.2821948,553.76
170,2,2,173,97,16,705.4871221,615.72
159,2,1,175,90,12,697.0884658,615.64
Sceptre,2,2.7,171,82,15,765.6774916,544.8
15,1,2.3,175,84,13,765.6774916,0
33,1,3.7,168,95,21,562.7099664,602.39
50,1,2.7,179,92,18,501.1198208,657.47
80,1,3.3,172,92,17,561.3101904,463.85
97,1,3.7,176,90,21,611.7021277,563.88
125,1,1.3,177,82,16,684,420.31
148,1,3.7,179,87,14,586.506159,500.68
172,1,2,179,82,9,685.8902576,503.23
193,1,3.3,177,95,14,589.3057111,458.44
212,1,1.7,174,85,11,720.8846585,474.37
86,2,4,179,90,11,432.5307951,573.36
133,2,2.3,183,72,8,450.7278835,488.56
94,2,2.7,180,82,14,533.3146697,543.46
156,2,7.7,179,94,13,520.7166853,571.07
114,2,3,183,76,12,644,564.42
ss1006,2,5,179,90,17,666.2933931,627.6
63,2,4.7,172,85,16,672,635.64
91,2,2,179,80,13,674.6920493,513.85
238,2,3,177,92,13,709.6864502,654.55
50,2,2,176,102,16,551.5117581,665
Harper,2,4,168,82,19,653.6954087,546.94
9,1,1.7,176,86,17,629.8992161,674.55
31,1,2.3,171,92,18,638.2978723,594.89
48,1,1.7,181,87,15,599.1041433,672.61
79,1,2,170,92,16,690.0895857,624.82
96,1,3.3,176,70,14,645.2967525,499.72
123,1,1.3,179,80,12,645.2967525,502.52
145,1,3.3,179,68,11,622.9003359,496.58
171,1,1.7,179,95,17,530.5151176,506.81
192,1,2.7,176,90,15,660.6942889,437.15
211,1,4,176,80,8,699.8880179,541.09
119,2,2.3,176,80,18,523.5162374,452.87
31,2,4,175,80,14,509.518477,439.37
78,2,2,175,77,14,439.5296753,446.39
18,2,3.7,179,82,11,627.0996641,439
193,2,1.7,177,97,16,580.9070549,560.37
70,2,1.7,179,77,8,727.8835386,584.03
210,2,4,175,85,14,753.0795073,555.04
36,2,2,175,94,16,723.6842105,471.69
22,2,2.7,177,100,15,720.8846585,649.98
96,2,3,177,77,11,614.5016797,533.6
Beaufort,2,1.7,177,85,9,778.2754759,679.7
8,1,1.3,176,95,13,564.1097424,558.83
29,1,3.3,176,90,14,715.2855543,600.83
46,1,2,170,70,12,625.699888,566.71
78,1,1.7,177,80,15,495.5207167,462.11
95,1,2.3,176,80,10,601.9036954,491.72
122,1,2.7,180,85,13,671.8924972,461.18
143,1,2.3,175,73,13,615.9014558,469.93
170,1,3,177,88,15,634.0985442,436.88
190,1,2.3,179,95,13,615.9014558,492.81
210,1,3.3,176,85,14,666.2933931,430.06
51,2,3.3,183,90,10,366.7413214,402.6
37,2,3.3,176,76,10,473.1243001,435.89
39,2,1,186,85,12,377.9395297,406.23
195,2,3,179,84,11,614.5016797,551.86
20,2,1.7,179,82,13,705.4871221,564.71
68,2,6,179,96,17,635.4983203,516.93
81,2,4.7,180,90,14,753.0795073,593.73
46,2,3.3,175,72,8,750.2799552,504.02
181,2,1.3,184,106,18,589.3057111,605.99
132,2,1.7,172,87,17,631.2989922,667.55
Trojan,2,3,171,80,16,712.4860022,568.09
7,1,1,179,77,10,649.4960806,575.33
28,1,1.7,173,105,21,547.31243,631.27
45,1,2.3,181,82,14,554.3113102,502.41
77,1,4.3,171,85,15,565.5095185,527.54
94,1,3,179,85,15,604.7032475,493.03
121,1,1.7,176,75,14,622.9003359,522.42
142,1,2,175,76,12,565.5095185,444.56
165,1,3.3,179,75,12,466.1254199,563.27
188,1,2.3,183,80,10,690.0895857,433.77
209,1,3.3,179,95,16,604.7032475,496.36
106,2,3.3,175,90,9,464.7256439,460.68
7,2,1.7,180,76,9,550.1119821,446.1
152,2,1,185,80,14,485.7222844,463.17
45,2,2,184,80,12,596.3045913,409.9
198,2,3.3,181,77,11,548.712206,469.85
35,2,2.7,179,95,11,741.881299,665.66
9,2,3,179,85,12,713.8857783,569.83
76,2,7.7,181,88,17,667.6931691,NA
183,2,6.3,175,90,15,697.0884658,468.79
40,2,4.3,176,95,13,606.1030235,528.45
Eagle hawk,2,3.3,176,78,12,593.5050392,573.32
Bennett 1,1,2.7,179,85,11,757.2788354,NA
27,1,2,173,95,19,480.1231803,595.27
44,1,3.7,175,82,24,557.1108623,443.06
76,1,5,177,80,15,558.5106383,404.97
93,1,2,167,80,17,571.1086226,466.34
119,1,2.3,171,84,17,519.3169093,418.33
141,1,4,178,88,16,445.1287794,566.03
162,1,3.3,180,90,9,502.5195969,432.46
186,1,1.3,185,75,17,538.9137738,345.86
208,1,4.3,180,75,13,544.5128779,465.55
178,2,3.3,179,85,15,349.944009,445.25
212,2,2.3,174,80,12,565.5095185,397.65
182,2,2,179,75,13,547.31243,492.54
143,2,5.3,176,74,8,600.5039194,382.44
145,2,3.7,180,65,12,561.3101904,485.01
153,2,5.7,175,100,19,638.2978723,532.23
85,2,1.7,180,87,12,708.2866741,506.82
23,2,3,175,80,16,677.4916013,556.39
206,2,2.3,175,85,20,673.2922732,497.8
177,2,3.3,175,95,19,552.9115342,598.88
Longsword,2,2.3,169,84,15,646.6965286,665.85
Longsword,2,2.3,169,84,15,646.6965286,634.77
