line,rep,oct_av_canopy_score,flowering_das,plant_ht,peduncle_length,plot_yield
150,2,1.7,174,85,18,743.281075
118,2,3,179,80,7,722.2844345
148,2,3.7,179,96,13,688.6898096
126,2,3,176,105,20,610.3023516
137,2,3,176,93,22,604.7032475
Eagle hawk,1,6.7,179,85,10,627.0996641
19,1,2.7,168,90,17,513.7178052
36,1,1.7,174,100,15,685.8902576
53,1,1,174,80,11,618.7010078
83,1,1.3,179,85,16,706.8868981
104,1,5,179,87,17,732.0828667
130,1,1.7,182,72,11,610.3023516
152,1,1,184,85,15,706.8868981
177,1,3.7,174,92,18,650.8958567
196,1,1.7,175,87,14,677.4916013
238,1,3,179,80,11,587.9059351
98,2,4,173,87,15,540.3135498
41,2,1.7,182,92,16,673.2922732
209,2,4,176,97,16,632.6987682
80,2,2.7,176,95,15,732.0828667
53,2,2.7,176,83,15,642.4972004
160,2,2.7,182,76,8,785.2743561
104,2,5.3,179,82,11,648.0963046
125,2,1.3,175,87,14,683.0907055
123,2,1.3,176,85,13,678.8913774
95,2,2,175,92,11,653.6954087
Longsword,1,3,173,92,18,685.8902576
18,1,3,171,83,14,517.9171333
35,1,2,176,97,13,704.087346
52,1,1,171,80,21,601.9036954
82,1,4,175,95,15,631.2989922
99,1,2.7,175,92,15,691.4893617
127,1,2.3,174,85,20,736.2821948
151,1,5,179,77,11,762.8779395
176,1,1.3,179,80,5,746.0806271
195,1,3,179,80,14,676.0918253
232,1,2,179,68,9,585.106383
27,2,3.3,172,85,12,468.924972
232,2,3.3,176,67,8,561.3101904
84,2,2.7,179,82,12,544.5128779
194,2,2.3,182,82,10,737.6819709
24,2,4.3,182,78,7,468.924972
127,2,2,176,88,17,639.6976484
151,2,4,179,77,10,704.087346
77,2,6.7,176,96,14,653.6954087
176,2,1,176,83,9,795.0727884
130,2,2,181,80,11,625.699888
Lancer,2,9,179,82,19,750.2799552
17,1,3,174,90,16,573.9081747
34,1,3,176,97,18,754.4792833
51,1,4,179,97,14,592.1052632
81,1,3.3,179,85,17,606.1030235
Bennett 2,1,2.7,179,90,16,803.4714446
126,1,3.7,179,95,19,687.2900336
150,1,2.7,172,85,18,666.2933931
173,1,3,174,85,17,627.0996641
194,1,2.7,179,77,10,694.2889138
222,1,1.7,182,90,14,564.1097424
92,2,1.3,175,85,14,536.1142217
165,2,2,179,74,10,415.7334826
112,2,3.3,175,100,19,572.5083987
33,2,2.3,174,95,17,601.9036954
142,2,2.3,175,82,11,704.087346
44,2,5.7,174,88,16,638.2978723
48,2,1.7,181,84,13,730.6830907
161,2,1.8,177,75,10,736.2821948
170,2,2,173,97,16,705.4871221
159,2,1,175,90,12,697.0884658
Sceptre,2,2.7,171,82,15,765.6774916
15,1,2.3,175,84,13,765.6774916
33,1,3.7,168,95,21,562.7099664
50,1,2.7,179,92,18,501.1198208
80,1,3.3,172,92,17,561.3101904
97,1,3.7,176,90,21,611.7021277
125,1,1.3,177,82,16,684
148,1,3.7,179,87,14,586.506159
172,1,2,179,82,9,685.8902576
193,1,3.3,177,95,14,589.3057111
212,1,1.7,174,85,11,720.8846585
86,2,4,179,90,11,432.5307951
133,2,2.3,183,72,8,450.7278835
94,2,2.7,180,82,14,533.3146697
156,2,7.7,179,94,13,520.7166853
114,2,3,183,76,12,644
ss1006,2,5,179,90,17,666.2933931
63,2,4.7,172,85,16,672
91,2,2,179,80,13,674.6920493
238,2,3,177,92,13,709.6864502
50,2,2,176,102,16,551.5117581
Harper,2,4,168,82,19,653.6954087
9,1,1.7,176,86,17,629.8992161
31,1,2.3,171,92,18,638.2978723
48,1,1.7,181,87,15,599.1041433
79,1,2,170,92,16,690.0895857
96,1,3.3,176,70,14,645.2967525
123,1,1.3,179,80,12,645.2967525
145,1,3.3,179,68,11,622.9003359
171,1,1.7,179,95,17,530.5151176
192,1,2.7,176,90,15,660.6942889
211,1,4,176,80,8,699.8880179
119,2,2.3,176,80,18,523.5162374
31,2,4,175,80,14,509.518477
78,2,2,175,77,14,439.5296753
18,2,3.7,179,82,11,627.0996641
193,2,1.7,177,97,16,580.9070549
70,2,1.7,179,77,8,727.8835386
210,2,4,175,85,14,753.0795073
36,2,2,175,94,16,723.6842105
22,2,2.7,177,100,15,720.8846585
96,2,3,177,77,11,614.5016797
Beaufort,2,1.7,177,85,9,778.2754759
8,1,1.3,176,95,13,564.1097424
29,1,3.3,176,90,14,715.2855543
46,1,2,170,70,12,625.699888
78,1,1.7,177,80,15,495.5207167
95,1,2.3,176,80,10,601.9036954
122,1,2.7,180,85,13,671.8924972
143,1,2.3,175,73,13,615.9014558
170,1,3,177,88,15,634.0985442
190,1,2.3,179,95,13,615.9014558
210,1,3.3,176,85,14,666.2933931
51,2,3.3,183,90,10,366.7413214
37,2,3.3,176,76,10,473.1243001
39,2,1,186,85,12,377.9395297
195,2,3,179,84,11,614.5016797
20,2,1.7,179,82,13,705.4871221
68,2,6,179,96,17,635.4983203
81,2,4.7,180,90,14,753.0795073
46,2,3.3,175,72,8,750.2799552
181,2,1.3,184,106,18,589.3057111
132,2,1.7,172,87,17,631.2989922
Trojan,2,3,171,80,16,712.4860022
7,1,1,179,77,10,649.4960806
28,1,1.7,173,105,21,547.31243
45,1,2.3,181,82,14,554.3113102
77,1,4.3,171,85,15,565.5095185
94,1,3,179,85,15,604.7032475
121,1,1.7,176,75,14,622.9003359
142,1,2,175,76,12,565.5095185
165,1,3.3,179,75,12,466.1254199
188,1,2.3,183,80,10,690.0895857
209,1,3.3,179,95,16,604.7032475
106,2,3.3,175,90,9,464.7256439
7,2,1.7,180,76,9,550.1119821
152,2,1,185,80,14,485.7222844
45,2,2,184,80,12,596.3045913
198,2,3.3,181,77,11,548.712206
35,2,2.7,179,95,11,741.881299
9,2,3,179,85,12,713.8857783
76,2,7.7,181,88,17,667.6931691
183,2,6.3,175,90,15,697.0884658
40,2,4.3,176,95,13,606.1030235
Eagle hawk,2,3.3,176,78,12,593.5050392
Bennett 1,1,2.7,179,85,11,757.2788354
27,1,2,173,95,19,480.1231803
44,1,3.7,175,82,24,557.1108623
76,1,5,177,80,15,558.5106383
93,1,2,167,80,17,571.1086226
119,1,2.3,171,84,17,519.3169093
141,1,4,178,88,16,445.1287794
162,1,3.3,180,90,9,502.5195969
186,1,1.3,185,75,17,538.9137738
208,1,4.3,180,75,13,544.5128779
178,2,3.3,179,85,15,349.944009
212,2,2.3,174,80,12,565.5095185
182,2,2,179,75,13,547.31243
143,2,5.3,176,74,8,600.5039194
145,2,3.7,180,65,12,561.3101904
153,2,5.7,175,100,19,638.2978723
85,2,1.7,180,87,12,708.2866741
23,2,3,175,80,16,677.4916013
206,2,2.3,175,85,20,673.2922732
177,2,3.3,175,95,19,552.9115342
Longsword,2,2.3,169,84,15,646.6965286
